ID,district,sector,month,psu,snumber,hhno,nhh,result,person_serial_no,residence,relationship,sex,birth_year,birth_month,age,registration,ethnicity,religion,marital_status,curr_educ,education,main_activity,is_active,main_occupation,industry,employment_status,B_year,NoOf_sickPersons,hhsize,visit_gov_hosp,visit_pvt_hosp,impatient_gov,impatient_pvt,chronic_illness,hhfoodexppm,haif_income,hhexppm,hhincomepm
111001061,11,1,1,111001,6,1,1,1,1,1,1,2,42,6,76,1,1,1,2,9,11,9,2, , ,7,1942,1,1,1,2,1,2,2,13577.143,19085.715,26073.334,38171.43
111003041,11,2,1,111003,4,1,1,1,1,1,1,1,62,10,56,1,1,1,2,9,11,1,1,9112,84130,1,1962,2,2,2,2,2,2,2,15792.857,14538.3565,39165.953,29076.713
111003091,11,2,1,111003,9,1,1,1,1,1,1,1,43,2,75,1,1,1,2,9,10,9,2, , ,7,1943,2,1,2,1,1,1,1,8562.8574,12157.1425,26127.383,24314.285
111004091,11,1,1,111004,9,1,1,1,1,1,1,1,47,2,71,1,1,1,2,9,10,5,2, , ,7,1947,1,1,2,2,2,2,2,7692.8569,16297.619,30903.953,32595.238
111006061,11,2,1,111006,6,1,1,1,1,1,1,1,51,11,67,1,1,1,2,9,13,4,2, , ,7,1951,1,1,2,2,1,2,2,17168.572,21085.715,35352.57,42171.43
111007011,11,1,1,111007,1,1,1,1,1,1,1,1,60,2,58,1,1,1,2,9,7,1,1,8322,49222,5,1960,2,1,1,2,1,2,1,18008.572,21271.4275,45101.645,42542.855
111007071,11,1,1,111007,7,1,1,1,1,1,1,2,91,5,27,1,1,1,2,9,11,7,2, , ,7,1991,2,2,2,2,1,2,2,24612.857,17071.4295,39407.742,34142.859
111007091,11,1,1,111007,9,1,1,1,1,1,1,1,73,2,45,1,3,5,2,9,8,7,2, , ,7,1973,2,2,1,2,2,2,1,34967.145,20000,62263.914,40000
111007101,11,1,1,111007,10,1,1,1,1,1,1,2,64,7,54,1,1,1,2,9,9,7,2, , ,7,1964,2,1,2,2,2,2,1,14545.714,16250,31286.992,32500
111009021,11,1,1,111009,2,1,1,1,1,1,1,1,62,8,56,1,1,1,2,9,8,1,1,7116,41001,5,1962,2,1,2,1,2,2,1,30510,19592.8575,59609.945,39185.715
111009101,11,1,1,111009,10,1,1,1,1,1,1,2,80,5,38,1,1,1,7,9,8,7,2, , ,7,1980,1,1,2,2,2,2,2,18818.572,11848.052,23746.104,23696.104
111010071,11,1,1,111010,7,1,1,1,1,1,1,1,85,7,33,1,4,3,2,9,11,1,1,2330,85492,5,1985,1,2,2,2,2,2,2,33535.715,20500,76449.742,41000
111011041,11,1,2,111011,4,1,1,1,1,1,1,1,47,2,72,1,6,3,2,9,10,9,2, , ,7,1947,1,2,2,2,1,2,2,33321.43,15400,46294.145,30800
111011061,11,1,2,111011,6,1,1,1,1,1,1,1,95,12,23,1,1,1,2,9,13,7,2, , ,7,1995,1,1,1,1,2,2,2,20910,20000,54410.098,40000
111011071,11,1,2,111011,7,1,1,1,1,1,1,1,57,5,61,1,2,2,2,9,11,4,2, , ,7,1957,3,1,1,2,1,2,1,21870,20225,30722.328,40450
111012031,11,1,1,111012,3,1,1,1,1,1,1,1,51,4,67,1,1,4,2,9,9,1,1,9322,47721,3,1951,2,1,2,2,2,2,2,13530,19107.1425,46658.277,38214.285
